ID,Type,Category,Stakeholder,Feature / Gap,Description,Current Status,Priority,Effort (Days),Phase,Sprint
W-CRO-01,Wow Feature,Strategic,CRO,Real-time Risk Heatmap,"Geographic India map showing risk concentration by branch/region — color-coded, clickable drill-down to branch-level cases",Not Built,P1,3,Phase 1,Sprint 1
W-CRO-02,Wow Feature,Strategic,CRO,Risk Appetite Dashboard,"CRO sets thresholds; live meter shows current portfolio risk vs. appetite (green/amber/red) with breach alerts",Not Built,P1,2,Phase 1,Sprint 1
W-CRO-03,Wow Feature,Strategic,CRO,Board Report PDF Generator,"One-click branded PDF: risk summary, trend charts, top cases, regulatory status, detection metrics — board-meeting ready",Not Built,P1,2,Phase 1,Sprint 1
W-CRO-04,Wow Feature,Strategic,CRO,What-If Scenario Simulator,"Model impact of business decisions: 'If we onboard 500 high-risk customers, what happens to risk profile?' with projected charts",Not Built,P2,3,Phase 2,Sprint 3
W-CRO-05,Wow Feature,Strategic,CRO,Peer Benchmarking,"Compare bank's fraud/detection rate against RBI industry averages and peer group statistics",Not Built,P3,2,Phase 3,Sprint 5
W-CRO-06,Wow Feature,Strategic,CRO,Executive Drilldown (Full),"Click any KPI → drill to cases → drill to transactions → drill to customer 360 — 3-click depth from 30000ft to ground",Partial — dashboard drilldown exists,P1,1,Phase 1,Sprint 1
W-CO-01,Wow Feature,Compliance,Compliance Officer,RBI Compliance Scorecard,"Checklist of all RBI Master Directions mapped to system features with green/red status — auto-updated as features change",Not Built,P1,1,Phase 1,Sprint 1
W-CO-02,Wow Feature,Compliance,Compliance Officer,Auto-generated SAR Narrative,"AI writes suspicious activity report narrative from transaction patterns; officer reviews and signs — 4hrs → 10min",Built — ai_agent module,P2,0,Done,Done
W-CO-03,Wow Feature,Compliance,Compliance Officer,Filing Deadline Tracker,"Countdown timers for CTR (15 days) and STR (7 days) with auto-escalation when approaching deadline and overdue alerts",Partial — basic deadline data exists,P1,2,Phase 1,Sprint 2
W-CO-04,Wow Feature,Compliance,Compliance Officer,Audit Trail Export,"One-click export of complete audit trail for any customer/case/alert with tamper-proof hash chain — audit-ready in 5 min",Not Built,P1,2,Phase 1,Sprint 2
W-CO-05,Wow Feature,Compliance,Compliance Officer,Regulatory Change Impact Analysis,"When new RBI circular is issued, show which rules/thresholds need updating with impact assessment and action items",Not Built,P3,3,Phase 3,Sprint 5
W-CO-06,Wow Feature,Compliance,Compliance Officer,PEP/Sanctions Auto-Screening,"Real-time screening against OFAC, UN, India MHA lists with match confidence scores and auto-alert generation",Simulated — mock data only,P2,3,Phase 2,Sprint 3
W-RM-01,Wow Feature,Detection,Risk Manager,Alert Tuning Dashboard,"Per-rule analytics: true positive rate, false positive rate, suggested threshold adjustment — data-driven tuning",Not Built,P1,2,Phase 1,Sprint 2
W-RM-02,Wow Feature,Detection,Risk Manager,Investigation Copilot,"Click 'Analyze' on any alert → auto-pulls customer 360, transaction pattern, network, similar past cases, recommended action",Partial — AI agent does some analysis,P1,2,Phase 1,Sprint 2
W-RM-03,Wow Feature,Detection,Risk Manager,Mule Network Force-Graph,"Interactive force-directed graph showing money flow chains, circular patterns highlighted, drag-to-explore nodes",Basic — grid layout exists, not force-graph,P1,3,Phase 1,Sprint 2
W-RM-04,Wow Feature,Detection,Risk Manager,SLA Burndown Chart,"Real-time view of alerts approaching SLA breach, predicted breach count by EOD, priority queue based on time remaining",Not Built,P1,2,Phase 1,Sprint 2
W-RM-05,Wow Feature,Detection,Risk Manager,Rule Backtesting Engine,"'If I change threshold from 5L to 3L, how many alerts would last month have generated?' — test before deploy",Not Built,P2,3,Phase 2,Sprint 3
W-RM-06,Wow Feature,Detection,Risk Manager,Duplicate / Link Detection,"Auto-detect same person across accounts using fuzzy name matching, shared phone/email/address, Aadhaar linkage",Not Built,P2,3,Phase 2,Sprint 3
W-IT-01,Wow Feature,Operations,IT / InfoSec,API Health Dashboard,"Real-time: uptime, latency p95, error rate, DB pool status, memory usage — IT monitors without asking dev team",Not Built,P2,2,Phase 2,Sprint 3
W-IT-02,Wow Feature,Operations,IT / InfoSec,RBAC with Maker-Checker,"Every sensitive change (rule edit, case close, role change) needs approval; full audit of who changed what",Built — maker_checker service,P2,0,Done,Done
W-IT-03,Wow Feature,Operations,IT / InfoSec,SSO / LDAP Integration Ready,"SAML/OAuth2 config screen for Active Directory integration — even if not connected, shows enterprise readiness",Not Built,P2,2,Phase 2,Sprint 4
W-OPS-01,Wow Feature,Operations,Operations / Branch,Customer 360 Single View,"One screen: KYC status, risk score, transactions, alerts, cases, network, documents — all cross-linked",Built — Customer360Page,P2,0,Done,Done
W-OPS-02,Wow Feature,Operations,Operations / Branch,Bulk Alert Triage,"Select 50 low-risk alerts → one-click 'close as false positive' with maker-checker approval workflow",Not Built,P2,2,Phase 2,Sprint 4
W-OPS-03,Wow Feature,Operations,Operations / Branch,Mobile-Responsive Design,"Tablet/mobile-friendly for branch managers doing customer meetings — responsive breakpoints across all pages",Not Built,P3,3,Phase 3,Sprint 5
W-AUD-01,Wow Feature,Audit,Internal Audit,Immutable Audit Log (Hash Chain),"Every action hash-linked to previous entry; tampering is mathematically detectable — survives forensic audit",Not Built,P1,2,Phase 1,Sprint 2
W-AUD-02,Wow Feature,Audit,Internal Audit,User Activity Analytics,"Dashboard: who logged in, what they viewed, unusual patterns (analyst viewing 200 records at 2am), access heatmap",Partial — audit middleware logs but no analytics UI,P2,2,Phase 2,Sprint 3
W-AUD-03,Wow Feature,Audit,Internal Audit,Segregation of Duties Report,"Auto-flag if same person created and approved a case closure, or modified a rule they also triggered",Not Built,P2,2,Phase 2,Sprint 4
PG-F01,Production Gap,Security,All,MFA / 2FA,"No TOTP or OTP — single-factor password only. Must have for any bank deployment",Missing,P0,3,Phase 1,Sprint 1
PG-F02,Production Gap,Security,All,Token Revocation / Logout,"No blacklist mechanism; JWT valid until expiry even after logout. Must invalidate on logout",Missing,P0,1,Phase 1,Sprint 1
PG-F03,Production Gap,Data Protection,Compliance Officer,PII Encryption on DB Fields,"encrypt_pii() exists but PAN, Aadhaar, phone stored plaintext. Must wire encryption to Customer model fields",Built but not wired,P0,2,Phase 1,Sprint 1
PG-F04,Production Gap,Data Protection,Compliance Officer,API Data Masking,"mask_pan() etc. exist but not applied to API list responses. Must mask in /customers and /transactions list endpoints",Built but not wired,P1,1,Phase 1,Sprint 1
PG-F05,Production Gap,Data Protection,Compliance Officer,Data Retention / Purge Policy,"No auto-archive or purge. RBI mandates 7-year archive, 10-year purge. Need scheduled job + admin UI",Missing,P1,2,Phase 2,Sprint 3
PG-F06,Production Gap,Detection,Risk Manager,ML / AI Models,"All 'AI' is rule-based or template text. No actual ML inference for anomaly detection or risk scoring",Missing,P2,5,Phase 3,Sprint 5
PG-F07,Production Gap,Integration,IT / InfoSec,External System Integrations,"14 integration sources return mock data. Need real CBS/SWIFT/FIU-IND connectors or at least SFTP/API stubs",Simulated only,P1,5,Phase 2,Sprint 4
PG-F08,Production Gap,Detection,Risk Manager,Internal Fraud Module (Real DB),"Hardcoded employee list and activities. Need actual DB tables for employee monitoring with real data ingestion",Mock data,P2,3,Phase 2,Sprint 4
PG-F09,Production Gap,Detection,Risk Manager,Fraud Scenarios (Real DB),"Hardcoded FATF typologies. Need to link scenarios to actual detected patterns and case outcomes",Mock data,P2,2,Phase 2,Sprint 4
PG-F10,Production Gap,Compliance,Compliance Officer,FIU-IND CTR/STR Auto-Filing,"CTR/SAR models exist but no actual FIU-IND portal integration. Need API/SFTP connector for regulatory filing",Missing,P1,4,Phase 2,Sprint 4
PG-F11,Production Gap,Frontend,All,Accessibility (WCAG 2.1),"No ARIA labels, keyboard navigation, or screen reader support. Required for government/PSU bank mandates",Missing,P2,3,Phase 3,Sprint 5
PG-F12,Production Gap,Frontend,All,React Error Boundaries,"Individual catch blocks but no global ErrorBoundary component. App crashes on unhandled frontend errors",Missing,P1,1,Phase 1,Sprint 1
PG-I01,Production Gap,Security,All,CORS Whitelist,"main.py now uses CORS_ORIGINS env var in production; wildcard only in development mode",DONE — code updated,P0,0.5,Phase 1,Sprint 1
PG-I02,Production Gap,Infrastructure,IT / InfoSec,PostgreSQL (RDS),"database.py now supports PostgreSQL with QueuePool connection pooling. Terraform creates RDS Multi-AZ instance",DONE — code + Terraform,P0,2,Phase 1,Sprint 1
PG-I03,Production Gap,Infrastructure,IT / InfoSec,Database Migrations (Alembic),"Using create_all() at startup. migrations/versions/ is empty. Must use Alembic for versioned schema changes",Missing,P0,2,Phase 1,Sprint 1
PG-I04,Production Gap,Infrastructure,IT / InfoSec,Rate Limiter → Redis-Backed,"rate_limit.py now uses Redis sliding window when REDIS_URL is set; falls back to in-memory for dev",DONE — code updated,P1,1,Phase 1,Sprint 2
PG-I05,Production Gap,Infrastructure,IT / InfoSec,Backup / Restore Automation,"RDS automated backups configured: 35-day retention, daily snapshots, point-in-time recovery enabled in Terraform",DONE — Terraform,P0,2,Phase 1,Sprint 2
PG-I06,Production Gap,Infrastructure,IT / InfoSec,HA / Failover,"ECS Fargate: 2+ tasks, auto-scaling (2-6), deployment circuit breaker with rollback. RDS Multi-AZ. Redis 2-node replication group",DONE — Terraform,P1,3,Phase 2,Sprint 3
PG-I07,Production Gap,Infrastructure,IT / InfoSec,WAF + ALB,"AWS WAF with rate limiting, SQL injection, XSS, IP reputation rules. ALB with TLS 1.3 termination, access logging",DONE — Terraform,P1,2,Phase 2,Sprint 3
PG-I08,Production Gap,Security,IT / InfoSec,HTTPS / TLS Enforcement,"ALB listener on 443 with TLS 1.3 policy, HTTP→HTTPS redirect, ACM certificates. CloudFront enforces HTTPS",DONE — Terraform,P0,1,Phase 1,Sprint 1
PG-I09,Production Gap,Security,All,Input Sanitization (XSS),"AWS WAF managed rules (AWSManagedRulesCommonRuleSet) handle XSS at edge. Application-level validation still needed",Partial — WAF covers edge,P1,2,Phase 1,Sprint 2
PG-I10,Production Gap,CI/CD,IT / InfoSec,Bandit CI Blocking,"CI pipeline now fails build on Bandit findings (removed || true). Added TESTING env var",DONE — ci.yml updated,P1,0.5,Phase 1,Sprint 1
PG-I11,Production Gap,Security,All,Auto-Seed Gated,"main.py only seeds when SEED_ON_STARTUP=true OR ENVIRONMENT=development. Production skips with warning",DONE — code updated,P0,0.5,Phase 1,Sprint 1
PG-I12,Production Gap,Infrastructure,IT / InfoSec,Infrastructure as Code (Terraform),"Full Terraform: VPC, ECS, RDS, ElastiCache, ALB, WAF, S3, CloudFront, Secrets Manager, monitoring — 8 modules",DONE — infrastructure/terraform/,P2,3,Phase 3,Sprint 5
PG-I13,Production Gap,Monitoring,IT / InfoSec,Monitoring / CloudWatch,"CloudWatch dashboard (ECS + RDS + ALB), 7 alarms (CPU, memory, connections, storage, 5xx, latency), SNS email alerts",DONE — Terraform,P1,3,Phase 2,Sprint 3
PG-I14,Production Gap,Testing,All,Load Testing,"No performance baseline. Need Locust/k6 scripts targeting 1000 concurrent users with <200ms p95 response",Missing,P2,2,Phase 2,Sprint 4
PG-I15,Production Gap,Security,IT / InfoSec,Secrets Manager,"config.py loads secrets from AWS Secrets Manager via boto3. Terraform creates secret with SECRET_KEY + PII_ENCRYPTION_KEY",DONE — code + Terraform,P2,2,Phase 2,Sprint 4
AWS-01,AWS Task,Infrastructure,IT / InfoSec,VPC Setup (ap-south-1),"2-AZ VPC with public subnets (ALB), private subnets (ECS/RDS/Redis), NAT Gateway, VPC Flow Logs",DONE — Terraform,P0,1,Phase 1,Sprint 1
AWS-02,AWS Task,Infrastructure,IT / InfoSec,ECS Fargate Cluster,"Cluster with Container Insights, task definition (1 vCPU / 2GB), service with circuit breaker + rolling deploy",DONE — Terraform,P0,1,Phase 1,Sprint 1
AWS-03,AWS Task,Infrastructure,IT / InfoSec,RDS PostgreSQL 15 (Multi-AZ),"db.t3.medium, 50-200GB gp3, encrypted, 35-day backup retention, Performance Insights 2yr, enhanced monitoring",DONE — Terraform,P0,1,Phase 1,Sprint 1
AWS-04,AWS Task,Infrastructure,IT / InfoSec,ElastiCache Redis 7.1,"2-node replication group, encrypted at rest + in transit, auto failover, 7-day snapshots",DONE — Terraform,P0,0.5,Phase 1,Sprint 1
AWS-05,AWS Task,Infrastructure,IT / InfoSec,ALB + ACM Certificates,"Application Load Balancer with TLS 1.3, HTTP→HTTPS redirect, access logs to S3, health check on /health",DONE — Terraform,P0,1,Phase 1,Sprint 1
AWS-06,AWS Task,Infrastructure,IT / InfoSec,AWS WAF v2,"6 rules: global rate limit (2000/5min), login rate limit (10/5min), SQL injection, XSS, bad inputs, IP reputation",DONE — Terraform,P0,1,Phase 1,Sprint 1
AWS-07,AWS Task,Infrastructure,IT / InfoSec,S3 Buckets (Frontend + Reports),"Frontend: OAI-restricted, public access blocked. Reports: KMS encrypted, Glacier lifecycle at 90 days, 10yr expiry",DONE — Terraform,P1,0.5,Phase 1,Sprint 1
AWS-08,AWS Task,Infrastructure,IT / InfoSec,CloudFront CDN,"S3 origin (frontend) + ALB origin (/api/*). SPA routing (404→index.html). TLS 1.2, custom domain support",DONE — Terraform,P1,1,Phase 1,Sprint 1
AWS-09,AWS Task,Infrastructure,IT / InfoSec,ECR Repository,"Image scanning on push, AES256 encryption, lifecycle policy keeping last 10 images",DONE — Terraform,P1,0.5,Phase 1,Sprint 1
AWS-10,AWS Task,Infrastructure,IT / InfoSec,Secrets Manager,"Stores SECRET_KEY + PII_ENCRYPTION_KEY. 7-day recovery window. ECS tasks pull via IAM role",DONE — Terraform,P0,0.5,Phase 1,Sprint 1
AWS-11,AWS Task,Infrastructure,IT / InfoSec,CloudWatch Monitoring,"Dashboard (4 widgets), 7 alarms: ECS CPU/memory, RDS CPU/connections/storage, ALB 5xx/latency. SNS email alerts",DONE — Terraform,P1,1,Phase 1,Sprint 2
AWS-12,AWS Task,Infrastructure,IT / InfoSec,ECS Auto Scaling,"Target tracking: CPU 70% + request count 1000/target. Min 2, max 6 tasks. Scale-out 60s, scale-in 300s cooldown",DONE — Terraform,P1,0.5,Phase 1,Sprint 2
AWS-13,AWS Task,CI/CD,IT / InfoSec,GitHub Actions → ECR → ECS Deploy,"CI tests → build Docker → push to ECR → update ECS task definition → rolling deploy → verify stability",DONE — deploy-aws.yml,P1,1,Phase 1,Sprint 1
AWS-14,AWS Task,CI/CD,IT / InfoSec,Frontend Deploy → S3 + CloudFront,"npm build → sync to S3 (immutable cache headers) → CloudFront invalidation for index.html",DONE — deploy-aws.yml,P1,0.5,Phase 1,Sprint 1
AWS-15,AWS Task,Infrastructure,IT / InfoSec,Terraform State Backend,"S3 bucket + DynamoDB lock table for remote state management (setup-tfstate.sh script provided)",DONE — script provided,P0,0.5,Phase 1,Sprint 1
AWS-16,AWS Task,Infrastructure,IT / InfoSec,VPC Flow Logs,"All traffic logged to CloudWatch Logs with 365-day retention — RBI compliance requirement for network audit",DONE — Terraform,P1,0.5,Phase 1,Sprint 1
AWS-17,AWS Task,Infrastructure,IT / InfoSec,IAM Roles (Least Privilege),"ECS execution role (ECR pull + secrets read), task role (S3 write + secrets read + CloudWatch logs). No admin access",DONE — Terraform,P0,0.5,Phase 1,Sprint 1
AWS-18,AWS Task,Code Change,All,Backend Config → AWS Secrets Manager,"config.py loads secrets via boto3 from AWS_SECRET_ARN. Falls back to env vars / auto-generate for local dev",DONE — config.py,P0,0.5,Phase 1,Sprint 1
AWS-19,AWS Task,Code Change,All,Database → PostgreSQL + Connection Pool,"database.py: QueuePool (size=10, overflow=20, pre_ping, recycle=1800) for PostgreSQL. StaticPool for SQLite dev",DONE — database.py,P0,0.5,Phase 1,Sprint 1
AWS-20,AWS Task,Code Change,All,Rate Limiter → Redis Sliding Window,"rate_limit.py: Redis sorted set sliding window when REDIS_URL set. Graceful fallback to in-memory dict",DONE — rate_limit.py,P1,0.5,Phase 1,Sprint 1
AWS-21,AWS Task,Code Change,All,S3 Report Storage Utility,"app/utils/s3.py: upload_report(), get_presigned_url(), list_reports(). KMS encryption. Falls back to local filesystem",DONE — s3.py,P1,0.5,Phase 1,Sprint 1
AWS-22,AWS Task,Code Change,All,Health Check → DB + Redis,"health endpoint verifies both PostgreSQL and Redis connectivity. Returns degraded if either fails",DONE — main.py,P1,0.5,Phase 1,Sprint 1
AWS-23,AWS Task,Code Change,All,CORS → Environment-Aware,"Wildcard only in development; production uses CORS_ORIGINS env var. allow_credentials=True when whitelisted",DONE — main.py,P0,0.5,Phase 1,Sprint 1
AWS-24,AWS Task,Code Change,All,Seed Gating,"Auto-seed only when SEED_ON_STARTUP=true or ENVIRONMENT=development. Production logs warning on empty DB",DONE — main.py,P0,0.5,Phase 1,Sprint 1
AWS-25,AWS Task,Code Change,All,Docker → Non-Root + Multi-Worker,"Dockerfile: non-root appuser, libpq-dev for psycopg2, 2 uvicorn workers, 60s start period health check",DONE — Dockerfile,P1,0.5,Phase 1,Sprint 1
AWS-26,AWS Task,Code Change,All,Docker Compose → PostgreSQL + Redis,"docker-compose.yml: postgres:15 + redis:7 services for local dev that mirrors AWS (RDS + ElastiCache)",DONE — docker-compose.yml,P1,0.5,Phase 1,Sprint 1
AWS-27,AWS Task,Code Change,All,Requirements → psycopg2 + redis + boto3,"Added psycopg2-binary==2.9.10, redis==5.2.1, boto3==1.36.7 to requirements.txt",DONE — requirements.txt,P0,0.5,Phase 1,Sprint 1
AWS-28,AWS Task,Infrastructure,IT / InfoSec,Route53 DNS Setup,"Create hosted zone, A records for api.* and app.* pointing to ALB and CloudFront respectively",Not Built — needs domain,P1,1,Phase 1,Sprint 2
AWS-29,AWS Task,Infrastructure,IT / InfoSec,RDS Read Replica,"Read replica in same region for reporting queries. Reduces load on primary for analytics/MIS endpoints",Not Built,P2,1,Phase 2,Sprint 3
AWS-30,AWS Task,Infrastructure,IT / InfoSec,AWS Backup Vault,"Centralized backup vault for RDS snapshots + S3 cross-region replication for DR. 35-day retention policy",Not Built,P1,1,Phase 2,Sprint 3
